calendar_commit_frequency,avg_commit_size_norm,burst_concentration_ratio,commit_coefficient_variation,generic_message_ratio,pr_rejection_rate,language_diversity_norm,skill_mismatch,audio_resume_mismatch,rule_score,label
0.308333,0.112583,0.600000,1.000000,0.200000,0.567000,1.000000,0.194868,0.421816,0.189000,0
0.273846,0.264526,0.219000,0.165600,0.050000,0.199000,1.000000,0.328938,0.358791,0.000000,0
0.253704,0.257578,0.234000,0.142000,0.350000,0.000000,0.333333,0.089639,0.139618,0.000000,0
0.197872,0.246259,0.237000,0.166200,0.500000,0.102000,0.666667,0.407657,0.023720,0.000000,0
0.614286,0.319190,0.151000,0.070800,0.250000,0.115000,1.000000,0.113155,0.174821,0.000000,0
0.304950,0.201869,0.195000,0.123000,0.100000,0.064000,0.333333,0.379179,0.409840,0.000000,0
0.033333,0.151699,0.176000,1.000000,0.500000,0.033000,0.666667,0.161459,0.446573,0.000000,0
0.119838,0.297911,0.193000,0.744200,0.100000,0.109000,0.833333,0.540295,0.067655,0.000000,0
0.536264,0.337946,0.184000,0.089400,0.400000,0.246000,0.333333,0.100570,0.102282,0.000000,0
0.150746,0.281835,0.228000,0.181000,0.300000,0.078000,1.000000,0.361792,0.142334,0.000000,0
0.026957,0.264747,0.234000,1.000000,0.350000,0.377000,0.666667,0.287201,0.149410,0.000000,0
0.370139,0.200774,0.178000,0.111200,0.350000,0.013000,0.666667,0.062106,0.332130,0.000000,0
0.363636,0.324624,0.184000,0.116400,0.050000,0.319000,1.000000,0.185709,0.439922,0.000000,0
0.020025,0.070959,0.253000,1.000000,0.100000,0.000000,1.000000,0.087808,0.345931,0.000000,0
0.581333,0.389896,0.171000,0.077200,0.200000,0.180000,0.666667,0.090462,0.176180,0.000000,0
0.150794,0.121918,0.216000,0.162600,0.050000,0.045000,1.000000,0.370336,0.096722,0.000000,0
0.410843,0.230050,0.202000,0.103600,0.200000,0.291000,1.000000,0.124874,0.062409,0.000000,0
0.010112,0.145788,0.159000,1.000000,0.550000,0.000000,1.000000,0.210724,0.173555,0.000000,0
0.027000,0.063227,0.198000,1.000000,0.100000,0.180000,0.500000,0.029786,0.149232,0.000000,0
0.020833,0.286711,0.152000,1.000000,0.000000,0.000000,1.000000,0.153621,0.167901,0.000000,0
0.164045,0.298287,0.603000,1.000000,0.300000,0.000000,0.833333,0.158921,0.166754,0.041000,0
0.370779,0.482980,0.193000,0.110400,0.400000,0.264000,0.333333,0.300441,0.199676,0.000000,0
0.411111,0.352710,0.176000,0.103600,0.500000,0.374000,0.333333,0.255562,0.200226,0.000000,0
0.236585,0.661876,0.845000,1.000000,0.300000,0.000000,0.500000,0.593156,0.539308,0.229000,1
0.329286,0.213640,0.189000,0.097800,0.150000,0.370000,1.000000,0.085717,0.176583,0.000000,0
0.175000,0.293237,0.783000,1.000000,0.100000,0.286000,0.833333,0.189092,0.292821,0.181000,0
0.169737,0.944566,0.682000,1.000000,0.550000,0.000000,0.166667,0.506955,0.647524,0.103000,1
0.471111,0.299737,0.151000,0.074600,0.200000,0.289000,1.000000,0.619050,0.039965,0.000000,0
0.043825,0.465280,0.236000,0.856400,0.550000,0.207000,0.833333,0.250428,0.099342,0.000000,0
0.594118,0.145757,0.163000,0.095400,0.500000,0.033000,0.833333,0.297833,0.317165,0.000000,0
0.016633,0.263970,0.183000,1.000000,0.050000,0.026000,0.333333,0.504631,0.195651,0.000000,0
0.042500,1.000000,0.235000,0.535400,0.300000,0.845000,0.333333,0.286122,0.664025,0.450000,1
0.016954,0.085252,0.167000,1.000000,0.400000,0.199000,0.500000,0.219578,0.313191,0.000000,0
0.423810,0.176782,0.169000,0.085000,0.300000,0.140000,0.833333,0.304514,0.037365,0.000000,0
0.375000,0.341396,0.160000,0.124400,0.150000,0.129000,0.333333,0.145324,0.231756,0.000000,0
0.532468,0.132574,0.190000,0.099600,0.200000,0.000000,0.833333,0.041061,0.126744,0.000000,0
0.336765,0.242934,0.214000,0.113000,0.150000,0.133000,0.666667,0.537507,0.125322,0.000000,0
0.472932,0.120610,0.169000,0.107000,0.200000,0.000000,0.500000,0.178986,0.082121,0.000000,0
0.334375,0.224542,0.776000,0.825000,0.600000,0.496000,0.166667,0.462294,0.675701,0.176000,1
0.004202,1.000000,0.800000,1.000000,0.300000,0.000000,0.166667,0.695331,0.293575,0.300000,1
0.019735,0.055076,0.134000,1.000000,0.200000,0.247000,0.666667,0.059121,0.037077,0.000000,0
0.115068,0.414448,0.940000,1.000000,0.200000,0.267000,0.833333,0.495041,0.463838,0.303000,0
0.126364,0.964612,0.489000,0.796800,0.300000,0.390000,0.500000,0.311961,0.789953,0.000000,1
0.123256,0.223770,0.245000,0.194400,0.250000,0.251000,1.000000,0.430807,0.107549,0.000000,0
0.183696,0.326650,0.787000,1.000000,0.350000,0.000000,0.333333,0.539592,0.241013,0.184000,0
0.019303,0.103529,0.181000,1.000000,0.350000,0.082000,1.000000,0.071714,0.146858,0.000000,0
0.050725,0.360219,0.800000,1.000000,0.450000,0.056000,1.000000,0.073742,0.120724,0.194000,0
0.222388,0.020973,0.208000,0.138800,0.150000,0.326000,0.666667,0.534024,0.430264,0.000000,0
0.317000,0.069522,0.202000,0.118400,0.100000,0.079000,0.666667,0.055875,0.359390,0.000000,0
0.484848,0.222661,0.202000,0.105200,0.600000,0.297000,1.000000,0.241953,0.503256,0.000000,0
0.685417,0.612334,0.514000,0.880600,0.750000,1.000000,0.333333,0.350526,0.612382,0.350000,1
0.138073,0.080932,0.243000,0.801600,0.550000,0.235000,0.666667,0.061778,0.209496,0.000000,0
0.258824,0.260730,0.214000,0.131200,0.050000,0.159000,0.500000,0.348759,0.296070,0.000000,0
0.338095,0.124684,0.204000,0.133400,0.500000,0.237000,0.666667,0.379881,0.292550,0.000000,0
0.102128,0.085825,0.229000,0.215600,0.050000,0.000000,0.833333,0.109568,0.091140,0.000000,0
0.502941,0.138764,1.000000,1.000000,0.300000,0.000000,0.166667,0.872655,0.582605,0.350000,1
0.560526,0.374491,0.181000,0.082600,0.100000,0.171000,1.000000,0.238813,0.258544,0.000000,0
0.520690,0.215982,0.179000,0.109800,0.250000,0.000000,0.833333,0.019544,0.040538,0.000000,0
0.269930,0.228497,0.202000,0.130800,0.400000,0.485000,0.666667,0.486123,0.198151,0.000000,0
0.252688,0.406894,0.209000,0.133600,0.200000,0.187000,0.666667,0.414931,0.176644,0.000000,0
0.120000,0.233094,0.208000,0.208200,0.450000,0.447000,0.500000,0.145475,0.163064,0.000000,0
0.035000,0.195048,0.183000,1.000000,0.350000,0.073000,0.333333,0.400474,0.609793,0.000000,0
0.278947,0.179910,0.201000,0.129400,0.050000,0.132000,0.833333,0.252876,0.132659,0.000000,0
0.019516,0.132221,0.161000,1.000000,0.100000,0.092000,0.833333,0.162982,0.290183,0.000000,0
0.350000,0.249629,0.217000,0.114600,0.050000,0.308000,0.500000,0.396497,0.268533,0.000000,0
0.365854,0.048274,0.187000,0.105600,0.250000,0.122000,0.666667,0.632018,0.492483,0.000000,0
0.368519,0.344105,0.211000,0.133200,0.300000,0.333000,0.833333,0.319379,0.190050,0.000000,0
0.062500,0.147510,0.195000,0.921200,0.100000,0.358000,1.000000,0.215256,0.356664,0.000000,0
0.024539,0.304878,0.188000,1.000000,0.150000,0.264000,0.666667,0.367629,0.140320,0.000000,0
0.010212,0.104305,0.273000,1.000000,0.200000,0.278000,1.000000,0.062033,0.203884,0.000000,0
0.062005,0.010000,0.145000,0.873400,0.150000,0.274000,0.833333,0.252447,0.317946,0.000000,0
0.311268,0.064460,0.719000,1.000000,0.650000,0.293000,0.166667,0.174886,0.579078,0.331000,1
0.446465,0.259721,0.174000,0.081800,0.500000,0.060000,0.833333,0.170578,0.229497,0.000000,0
0.020000,1.000000,0.500000,0.748400,0.600000,0.530000,0.500000,0.733602,0.316970,0.450000,1
1.000000,0.607990,0.455000,0.646200,0.250000,0.000000,0.500000,0.694347,0.287007,0.000000,1
0.326829,0.079175,0.187000,0.153600,0.150000,0.194000,1.000000,0.126074,0.119333,0.000000,0
0.007018,1.000000,0.500000,1.000000,0.500000,0.619000,0.166667,0.528086,0.521327,0.450000,1
0.124096,0.672561,0.670000,1.000000,0.400000,0.364000,0.500000,0.218590,0.527816,0.093000,1
0.019106,0.288147,0.298000,1.000000,0.350000,0.213000,0.666667,0.234211,0.275268,0.000000,0
0.405455,0.195297,0.529000,1.000000,0.150000,0.394000,0.333333,0.227437,0.238642,0.000000,0
0.153521,0.377316,0.211000,0.148000,0.400000,0.000000,0.500000,0.593478,0.712755,0.000000,1
0.259223,0.284636,0.232000,0.154400,0.250000,0.411000,0.833333,0.272334,0.115635,0.000000,0
0.558252,0.281690,0.170000,0.096600,0.300000,0.286000,0.666667,0.054838,0.099128,0.000000,0
0.246078,0.182926,0.474000,1.000000,0.700000,0.812000,0.500000,0.510300,0.541457,0.350000,1
0.010526,1.000000,0.500000,1.000000,0.650000,0.000000,0.166667,0.745627,0.515011,0.500000,1
0.105000,0.170731,0.464000,1.000000,0.200000,0.069000,0.666667,0.046499,0.267153,0.000000,0
0.176119,0.395026,0.195000,0.157000,0.200000,0.458000,1.000000,0.554543,0.228772,0.000000,0
0.403333,0.111277,0.186000,0.128400,0.050000,0.365000,0.666667,0.162190,0.269748,0.000000,0
0.114423,0.111550,0.958000,1.000000,0.200000,0.073000,0.666667,0.314719,0.227994,0.317000,0
0.041212,0.182019,0.176000,1.000000,0.200000,0.363000,0.333333,0.552143,0.223058,0.000000,0
0.101408,0.258009,0.847000,1.000000,0.250000,0.000000,0.500000,0.130774,0.210242,0.231000,0
0.185185,0.080451,0.627000,1.000000,0.050000,0.000000,0.666667,0.197152,0.265872,0.060000,0
0.480000,0.074533,0.208000,0.131200,0.100000,0.173000,0.833333,0.135469,0.135897,0.000000,0
0.433010,0.389400,0.200000,0.131400,0.200000,0.135000,1.000000,0.111831,0.285547,0.000000,0
0.408911,0.288513,0.184000,0.089800,0.150000,0.178000,0.500000,0.186326,0.301779,0.000000,0
0.022370,0.350058,0.208000,1.000000,0.250000,0.000000,0.333333,0.253702,0.047123,0.000000,0
0.481538,0.263845,0.176000,0.103600,0.100000,0.598000,0.666667,0.061056,0.050173,0.150000,0
0.195946,0.272274,0.210000,0.152400,0.050000,0.200000,0.833333,0.077295,0.179728,0.000000,0
0.084783,0.507698,0.923000,1.000000,0.150000,0.257000,0.666667,0.255484,0.278560,0.290000,0
0.315152,0.162561,0.199000,0.103800,0.250000,0.000000,0.666667,0.185966,0.136719,0.000000,0
0.217910,0.348060,0.212000,0.137200,0.500000,0.131000,1.000000,0.095690,0.101375,0.000000,0
0.038704,0.354103,0.199000,1.000000,0.250000,0.422000,0.500000,0.289953,0.062546,0.000000,0
0.029622,0.348488,0.149000,1.000000,0.550000,0.267000,1.000000,0.046482,0.054232,0.000000,0
0.322917,0.297134,0.194000,0.145400,0.350000,0.557000,1.000000,0.128937,0.246997,0.150000,0
0.572932,0.331890,0.169000,0.085600,0.450000,0.006000,0.666667,0.110018,0.062795,0.000000,0
0.442308,0.374177,0.200000,0.128400,0.250000,0.000000,0.500000,0.040382,0.116896,0.000000,0
0.007407,1.000000,0.667000,1.000000,0.700000,0.989000,0.166667,0.162690,0.818299,0.650000,1
0.557718,0.257399,0.173000,0.096200,0.400000,0.561000,1.000000,0.254916,0.691039,0.150000,0
0.230233,0.463800,0.172000,0.096600,0.300000,0.037000,0.666667,0.055951,0.163712,0.000000,0
0.298462,0.450131,0.211000,0.131200,0.050000,0.052000,1.000000,0.249790,0.262544,0.000000,0
0.305806,0.426920,0.200000,0.124200,0.200000,0.367000,0.833333,0.453472,0.498797,0.000000,0
0.357143,0.337241,0.173000,0.151800,0.300000,0.093000,0.333333,0.112846,0.074606,0.000000,0
0.187805,0.282850,0.942000,1.000000,0.150000,0.173000,0.833333,0.315989,0.092849,0.305000,0
0.008247,0.215849,0.297000,1.000000,0.050000,0.223000,1.000000,0.128641,0.244952,0.000000,0
0.506977,0.188551,0.191000,0.093400,0.050000,0.028000,0.833333,0.104766,0.127420,0.000000,0
0.301429,0.276349,0.692000,1.000000,0.450000,0.393000,0.833333,0.493789,0.239717,0.110000,0
0.537349,0.153251,0.161000,0.105800,0.250000,0.342000,0.333333,0.091638,0.073079,0.000000,0
0.169841,0.037604,0.897000,1.000000,0.400000,0.229000,0.333333,0.388365,0.525267,0.270000,0
0.282979,0.319563,0.195000,0.117000,0.150000,0.179000,0.666667,0.261558,0.075825,0.000000,0
0.202857,0.303234,1.000000,1.000000,0.650000,0.250000,0.333333,0.677487,0.547300,0.550000,1
0.191200,0.471932,0.222000,0.146200,0.300000,0.280000,0.833333,0.376608,0.031546,0.000000,0
0.579508,0.317586,0.175000,0.089600,0.200000,0.150000,1.000000,0.176094,0.217306,0.000000,0
0.094286,0.819392,0.576000,0.855200,0.350000,0.667000,0.500000,0.365007,0.535414,0.170000,1
0.007168,0.477570,0.333000,1.000000,0.250000,0.204000,0.666667,0.348193,0.241054,0.000000,0
0.556000,0.230745,0.171000,0.076400,0.050000,0.323000,1.000000,0.013382,0.128293,0.000000,0
0.276316,0.311379,0.210000,0.145800,0.150000,0.344000,1.000000,0.069648,0.432509,0.000000,0
0.206818,0.099941,0.725000,0.901600,0.600000,0.864000,0.333333,0.794906,0.546296,0.286000,1
0.150000,1.000000,0.438000,0.540600,0.350000,0.483000,0.500000,0.867530,0.339252,0.000000,1
0.226923,0.347706,0.246000,0.177200,0.300000,0.202000,0.833333,0.275931,0.221864,0.000000,0
0.024767,0.120030,0.215000,1.000000,0.150000,0.156000,0.500000,0.154278,0.226092,0.000000,0
0.396939,0.201077,0.193000,0.096600,0.150000,0.663000,0.333333,0.410926,0.431916,0.150000,1
0.497500,0.010000,0.199000,0.098200,0.700000,0.398000,1.000000,0.213649,0.406169,0.200000,0
0.208197,0.527658,0.213000,0.157800,0.200000,0.258000,0.833333,0.122732,0.142680,0.000000,0
0.037815,0.255605,0.178000,1.000000,0.150000,0.123000,0.333333,0.109085,0.034809,0.000000,0
0.232143,0.273124,0.195000,0.143200,0.500000,0.434000,0.500000,0.341975,0.505659,0.000000,0
0.229730,0.377503,0.212000,0.131000,0.250000,0.426000,0.333333,0.005944,0.215226,0.000000,0
0.063275,0.010000,0.192000,0.995600,0.350000,0.247000,0.666667,0.107646,0.139999,0.000000,0
0.437234,0.010000,0.202000,0.109800,0.450000,0.257000,1.000000,0.008014,0.061308,0.000000,0
0.304895,0.276003,0.188000,0.113800,0.300000,0.291000,0.500000,0.078265,0.094034,0.000000,0
0.019271,0.153977,0.270000,1.000000,0.550000,0.152000,0.500000,0.309855,0.076170,0.000000,0
0.552419,0.237408,0.177000,0.087400,0.300000,0.193000,0.833333,0.238196,0.208392,0.000000,0
0.292391,0.388423,0.219000,0.124800,0.250000,0.179000,0.333333,0.196624,0.091532,0.000000,0
0.367241,0.089918,0.197000,0.111400,0.350000,0.093000,0.500000,0.079980,0.374829,0.000000,0
0.508989,0.408560,0.172000,0.103000,0.500000,0.171000,0.833333,0.184033,0.134661,0.000000,0
0.705405,0.487373,0.586000,0.849800,0.250000,0.759000,0.333333,0.580299,0.695243,0.178000,1
0.417105,0.377421,0.196000,0.127000,0.450000,0.354000,0.500000,0.361951,0.182312,0.000000,0
0.065306,0.327017,0.938000,1.000000,0.050000,0.001000,1.000000,0.172419,0.036818,0.302000,0
0.340909,0.387694,0.191000,0.144800,0.300000,0.089000,0.500000,0.274708,0.057179,0.000000,0
0.007703,0.251096,0.364000,1.000000,0.250000,0.428000,0.333333,0.167758,0.170492,0.000000,0
0.075714,0.849462,0.679000,1.000000,0.650000,0.186000,0.500000,0.346118,0.560034,0.300000,1
0.445802,0.218220,0.195000,0.101400,0.100000,0.247000,0.500000,0.117977,0.139940,0.000000,0
0.021272,0.190473,0.114000,1.000000,0.450000,0.019000,0.833333,0.174219,0.492639,0.000000,0
0.026531,1.000000,0.308000,0.623800,0.350000,0.000000,0.166667,0.257026,0.493381,0.300000,1
0.406349,0.398658,0.191000,0.102200,0.450000,0.556000,0.333333,0.834480,0.455112,0.150000,1
0.098571,0.366466,0.884000,1.000000,0.250000,0.243000,0.666667,0.362489,0.243556,0.260000,0
0.188095,0.292809,0.207000,0.139000,0.250000,0.297000,0.500000,0.171140,0.092871,0.000000,0
0.130357,0.055435,0.966000,1.000000,0.250000,0.171000,0.666667,0.350218,0.142154,0.324000,0
0.018835,0.010000,0.155000,1.000000,0.300000,0.000000,0.666667,0.090613,0.096911,0.000000,0
0.505970,0.554117,0.516000,1.000000,0.300000,0.617000,0.166667,0.746468,0.692838,0.150000,1
0.422308,0.307138,0.213000,0.116400,0.150000,0.296000,0.333333,0.149750,0.039030,0.000000,0
0.288696,0.273171,0.190000,0.130000,0.400000,0.000000,0.666667,0.334561,0.239780,0.000000,0
0.220202,0.073859,0.615000,1.000000,0.050000,0.131000,0.833333,0.492901,0.260409,0.051000,0
0.023918,0.113608,0.172000,1.000000,0.350000,0.182000,0.500000,0.373556,0.308737,0.000000,0
0.105970,0.545829,1.000000,1.000000,0.800000,0.668000,0.166667,0.698695,0.668869,0.700000,1
0.297647,0.547869,0.206000,0.142400,0.300000,0.142000,0.666667,0.243943,0.213237,0.000000,0
0.032709,0.378968,0.158000,1.000000,0.350000,0.053000,0.833333,0.449235,0.111052,0.000000,0
0.505085,0.010000,0.173000,0.093000,0.400000,0.000000,0.333333,0.427949,0.205416,0.000000,0
0.257627,0.397818,0.204000,0.122200,0.150000,0.000000,0.166667,0.568396,0.399814,0.000000,1
0.200000,0.010000,0.947000,1.000000,0.250000,0.428000,1.000000,0.273737,0.057186,0.309000,0
0.510714,0.245494,0.179000,0.101400,0.200000,0.196000,1.000000,0.243585,0.037698,0.000000,0
0.130000,0.090301,0.923000,1.000000,0.100000,0.228000,1.000000,0.144539,0.336920,0.290000,0
0.333962,0.291980,0.209000,0.126800,0.500000,0.018000,0.666667,0.415038,0.093783,0.000000,0
0.223171,0.173584,0.650000,1.000000,0.350000,0.203000,0.833333,0.216514,0.179559,0.078000,0
